word,translation,progress,usage
pludselig,suddenly,4,Han kom pludselig ind ad døren.
stadig,still,4,Jeg er stadig hjemme.
rask,healthy,4,Barnet er blevet rask igen.
at bræke sig,to vomit,4,"Han var så syg, at han måtte bræke sig."
væk,away,4,Han gik væk uden at sige farvel.
at vænne sig til,to get used to,3,Det tager tid at vænne sig til det nye arbejde.
at forvente,to expect,2,Jeg forventer et svar snart.
tydeligt,clearly,2,"Han talte tydeligt, så alle forstod det."
at være interesseret i,to be interested in,2,Jeg er interesseret i musik.
at se ud,to look like,2,Han ser ud til at være glad.
stærk,strong,2,Hun har en stærk vilje.
bjerget,the mountain,2,Vi klatrede op ad bjerget.
grøntsagen,the vegetable,2,Grøntsagen var frisk og økologisk.
et par gange,a couple of times,2,Jeg har været der et par gange.
sort,black,2,Han havde en sort jakke på.
guitarundervisningen,the guitar lessons,2,Guitarundervisningen hjalp ham med at blive bedre.
og så videre,and so on,2,"Vi talte om musik, film og så videre."
hensigten,the intention,2,Hensigten med mødet var at finde en løsning.
årsagen,the cause,2,Årsagen til ulykken var ukendt.
forsinket,delayed,2,Toget var forsinket på grund af snevejr.
at flytte,to move,2,De skal flytte til en ny by.
endelig,finally,2,Han kom endelig hjem efter en lang rejse.
samtidig,simultaneously,2,"De talte samtidig, så det var svært at forstå."
at klare,to handle,2,Han kan klare svære situationer.
huden,the skin,2,Huden bliver tør om vinteren.
parforholdet,the relationship,2,Parforholdet mellem dem er stærkt.
omkring,around,2,Han kiggede sig omkring i rummet.
særlig,special,2,Det var en særlig dag for hende.
