word,translation,progress,usage
heldigvis,fortunately,1,Heldigvis var vejret godt i dag.
heller ikke,neither,1,Jeg kan heller ikke lide kaffe.
hverken - eller,neither - nor,1,Han drikker hverken kaffe eller te.
især,especially,1,"Jeg elsker frugt, især æbler."
muligvis,possibly,1,Han kommer muligvis senere.
naturligvis,naturally,1,Han var naturligvis glad for at høre nyheden.
nemlig,namely,1,"Jeg elsker sport, nemlig fodbold."
også,also,1,"Jeg elsker musik, og jeg spiller også klaver."
omsider,finally,1,Han kom omsider hjem efter en lang dag.
samtidig,simultaneously,1,De begyndte at tale samtidig.
sandsynligvis,most likely,1,Han kommer sandsynligvis til festen.
selvom,even though,1,"Han gik ud, selvom det regnede."
snarere,rather,1,Det var snarere en misforståelse end en fejl.
uheldigvis,unfortunately,1,Uheldigvis blev han syg på rejsen.
ydermere,moreover,1,Ydermere har han stor erfaring i branchen.
alligevel,nevertheless,1,"Han var træt, alligevel fortsatte han med arbejdet."
altså,therefore,1,"Jeg har ikke tid, altså kan jeg ikke deltage."
bagefter,afterwards,1,Vi spiste middag og gik bagefter en tur.
forhåbentlig,hopefully,1,Forhåbentlig bliver vejret bedre i morgen.
formentlig,probably,1,Han kommer formentlig til mødet.
formodentlig,presumably,1,Han har formodentlig allerede taget afsted.
faktisk,actually,1,Faktisk har han boet i Danmark i mange år.
desværre,unfortunately,1,Desværre var toget forsinket.
dog,however,1,"Han er træt, dog vil han stadig hjælpe."
endda,even,1,"Hun taler flere sprog, endda flydende kinesisk."
endelig,finally,1,Han fik endelig sit drømmejob.
