word,translation,progress,usage
først og fremmest,first and foremost,1,"Først og fremmest skal vi finde en løsning."
hvorimod,whereas,1,"Han elsker at rejse, hvorimod hun foretrækker at blive hjemme."
ikke desto mindre,nevertheless,1,"Det regnede meget, ikke desto mindre gik vi en tur."
imidlertid,however,1,"Han havde forberedt sig godt, imidlertid klarede han ikke testen."
kort sagt,in short,1,"Kort sagt, det var en god oplevelse."
ligeledes,likewise,1,"Jeg håber, du får en god dag. Ligeledes til dig!"
ligesom,just like,1,"Han spiller fodbold ligesom sin bror."
med andre ord,in other words,1,"Han bestod ikke eksamen, m.a.o. han skal tage den igen."
mens,while,1,"Jeg lavede mad, mens han så fjernsyn."
omvendt,conversely,1,"Han elsker varme, omvendt kan han ikke lide vinter."
ovenikøbet,on top of that,1,"Hun er dygtig og ovenikøbet meget venlig."
på grund af,because of,1,"Han kom for sent pga. trafikken."
på den anden side,on the other hand,1,"Jeg elsker byen, på den anden side kan jeg godt lide naturen."
således,thus,1,"Han trænede meget, således blev han stærkere."
til gengæld,on the other hand,1,"Han kan ikke lide kaffe, til gengæld elsker han te."
tilmed,additionally,1,"Hun er klog og tilmed meget venlig."
til sammenligning,for comparison,1,"Til sammenligning er denne by mindre end den anden."
til sidst,finally,1,"Til sidst forstod jeg opgaven."
afslutningsvis,in conclusion,1,"Afslutningsvis vil jeg sige tak til alle."
alt i alt,all in all,1,"Alt i alt var det en god oplevelse."
blandt andet,among others,1,"Han har besøgt mange lande, bl.a. Frankrig og Spanien."
både - og,both - and,1,"Han elsker både musik og sport."
derefter,after that,1,"Vi så en film og gik derefter i seng."
derfor,therefore,1,"Han var syg, derfor blev han hjemme."
derimod,on the other hand,1,"Han elsker sommer, derimod hader han vinter."
dermed,thus,1,"Han fik et nyt job, dermed kunne han flytte til byen."
dernæst,next,1,"Først diskuterede vi planen, dernæst begyndte vi arbejdet."
derpå,after that,1,"Han spiste frokost og gik derpå en tur."
derudover,besides that,1,"Han er dygtig og derudover meget hjælpsom."
desuden,moreover,1,"Hun er klog og desuden meget venlig."
det betyder,that means,1,"Han er syg, det betyder, at han ikke kommer i dag."
det vil sige,i.e.,1,"Han arbejder med IT, dvs. han udvikler software."
eftersom,since,1,"Eftersom han ikke havde tid, blev mødet aflyst."
endvidere,furthermore,1,"Endvidere er han meget engageret i sit arbejde."
følgeligt,consequently,1,"Han arbejdede hårdt, følgelig blev han forfremmet."
for det første ... for det andet,firstly ... secondly,1,"For det første er det vigtigt at være præcis, for det andet skal man være hurtig."
for eksempel,for example,1,"Han kan lide frugt, for eksempel æbler og pærer."
