word,translation,progress,usage
zero,0,2,
un,1,2,
deux,2,2,
trois,3,2,
quatre,4,2,
cinq,5,2,
six,6,2,
sept,7,2,
huit,8,2,
neuf,9,2,
dix,10,2,
onze,11,2,
douze,12,2,
treize,13,2,
quatorze,14,2,
quinze,15,2,
seize,16,2,
dix-sept,17,2,
dix-huit,18,2,
dix-neuf,19,2,
vingt,20,2,
vingt et un,21,2,
vingt-deux,22,2,
vingt-trois,23,2,
vingt-quatre,24,2,
vingt-cinq,25,2,
vingt-six,26,2,
vingt-sept,27,2,
vingt-huit,28,2,
vingt-neuf,29,2,
trente,30,2,
trente et un,31,2,
trente-deux,32,2,
trente-trois,33,2,
trente-quatre,34,2,
trente-cinq,35,2,
trente-six,36,2,
trente-sept,37,2,
trente-huit,38,2,
trente-neuf,39,2,
quarante,40,2,
quarante et un,41,2,
quarante-deux,42,2,
quarante-trois,43,2,
quarante-quatre,44,2,
quarante-cinq,45,2,
quarante-six,46,2,
quarante-sept,47,2,
quarante-huit,48,2,
quarante-neuf,49,2,
cinquante,50,2,
cinquante et un,51,2,
cinquante-deux,52,2,
cinquante-trois,53,2,
cinquante-quatre,54,2,
cinquante-cinq,55,2,
cinquante-six,56,2,
cinquante-sept,57,2,
cinquante-huit,58,2,
cinquante-neuf,59,2,
soixante,60,2,
soixante et un,61,2,
soixante-deux,62,2,
soixante-trois,63,2,
soixante-quatre,64,2,
soixante-cinq,65,2,
soixante-six,66,2,
soixante-sept,67,2,
soixante-huit,68,2,
soixante-neuf,69,2,
soixante-dix,70,2,
soixante et onze,71,2,
soixante-douze,72,2,
soixante-treize,73,2,
soixante-quatorze,74,2,
soixante-quinze,75,2,
soixante-seize,76,2,
soixante-dix-sept,77,2,
soixante-dix-huit,78,2,
soixante-dix-neuf,79,2,
quatre-vingts,80,2,
quatre-vingt-un,81,2,
quatre-vingt-deux,82,2,
quatre-vingt-trois,83,2,
quatre-vingt-quatre,84,2,
quatre-vingt-cinq,85,2,
quatre-vingt-six,86,2,
quatre-vingt-sept,87,2,
quatre-vingt-huit,88,2,
quatre-vingt-neuf,89,2,
quatre-vingt-dix,90,2,
quatre-vingt-onze,91,2,
quatre-vingt-douze,92,2,
quatre-vingt-treize,93,2,
quatre-vingt-quatorze,94,2,
quatre-vingt-quinze,95,2,
quatre-vingt-seize,96,2,
quatre-vingt-dix-sept,97,2,
quatre-vingt-dix-huit,98,2,
quatre-vingt-dix-neuf,99,2,
cent,100,2,
